review_id,trace_name,filename,event,region,Subset,primary_long_mixed,source_duration_s,reference_s,reference_grid_s,fixed_end_s,shift_s,shifted_start_s,energy_change_pct,fas_smoothed_l2_pct,psa_l2_pct
20,acSIT0101103091145,acSIT0101103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,holdout_evaluation,False,214.95000000000002,63.37899902,63.38,214.95000000000002,-5,58.38,1.5068260410692425,1.9126658289832497,1.8157888840786494
20,acSIT0101103091145,acSIT0101103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,holdout_evaluation,False,214.95000000000002,63.37899902,63.38,214.95000000000002,0,63.38,0.0,0.0,0.0
20,acSIT0101103091145,acSIT0101103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,holdout_evaluation,False,214.95000000000002,63.37899902,63.38,214.95000000000002,5,68.38,-1.9282789905727293,2.841306897430192,2.316762103911484
20,acSIT0101103091145,acSIT0101103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,holdout_evaluation,False,214.95000000000002,63.37899902,63.38,214.95000000000002,10,73.38,-5.427475312220286,6.530986008848434,5.219252548336239
21,acSIT0031103120359,acSIT0031103120359.dat.correct.padremoved.v,2011-03-12 03:59:00,Kanto Basin,training,True,222.95000000000002,63.99799805,64.0,222.95000000000002,-10,54.0,4.039499286314108,6.951121542924957,4.844252747287097
21,acSIT0031103120359,acSIT0031103120359.dat.correct.padremoved.v,2011-03-12 03:59:00,Kanto Basin,training,True,222.95000000000002,63.99799805,64.0,222.95000000000002,-5,59.0,1.7849094088905781,4.201457610964082,4.406481551916956
21,acSIT0031103120359,acSIT0031103120359.dat.correct.padremoved.v,2011-03-12 03:59:00,Kanto Basin,training,True,222.95000000000002,63.99799805,64.0,222.95000000000002,0,64.0,0.0,0.0,0.0
21,acSIT0031103120359,acSIT0031103120359.dat.correct.padremoved.v,2011-03-12 03:59:00,Kanto Basin,training,True,222.95000000000002,63.99799805,64.0,222.95000000000002,5,69.0,-4.080356975947486,6.159095753190096,6.422891947652364
21,acSIT0031103120359,acSIT0031103120359.dat.correct.padremoved.v,2011-03-12 03:59:00,Kanto Basin,training,True,222.95000000000002,63.99799805,64.0,222.95000000000002,10,74.0,-7.267287752438545,10.24430104930025,19.020227944817012
22,acCHB0111103131026,acCHB0111103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,205.91,45.24700195,45.25,205.91,-10,35.25,5.729339382634935,6.852266764520475,6.197464951132639
22,acCHB0111103131026,acCHB0111103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,205.91,45.24700195,45.25,205.91,-5,40.25,3.2869335806265276,5.459584326285143,5.090821683898667
22,acCHB0111103131026,acCHB0111103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,205.91,45.24700195,45.25,205.91,0,45.25,0.0,0.0,0.0
22,acCHB0111103131026,acCHB0111103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,205.91,45.24700195,45.25,205.91,5,50.25,-3.6290532797840003,4.139158154270241,5.9198071877552865
22,acCHB0111103131026,acCHB0111103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,205.91,45.24700195,45.25,205.91,10,55.25,-7.0473269973309165,9.878009470503468,11.193633856365432
23,acCHB0121103131026,acCHB0121103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,219.91,63.71700195,63.72,219.91,-10,53.72,3.60288771150139,4.911310892464913,3.7407490382227406
23,acCHB0121103131026,acCHB0121103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,219.91,63.71700195,63.72,219.91,-5,58.72,0.8890663546131217,2.108066486366266,2.325643673871353
23,acCHB0121103131026,acCHB0121103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,219.91,63.71700195,63.72,219.91,0,63.72,0.0,0.0,0.0
23,acCHB0121103131026,acCHB0121103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,219.91,63.71700195,63.72,219.91,5,68.72,-0.7250418887255861,3.6422724118894143,3.4379430015114614
23,acCHB0121103131026,acCHB0121103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,219.91,63.71700195,63.72,219.91,10,73.72,-4.49584429586759,11.855091918001904,14.141643909544813
24,acSIT0031103131026,acSIT0031103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,198.95000000000002,57.19799805,57.2,198.95000000000002,-10,47.2,4.199426167876386,4.61890526516079,1.9129737738702937
24,acSIT0031103131026,acSIT0031103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,198.95000000000002,57.19799805,57.2,198.95000000000002,-5,52.2,1.3466230232225262,4.5286164039236425,1.697327388162742
24,acSIT0031103131026,acSIT0031103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,198.95000000000002,57.19799805,57.2,198.95000000000002,0,57.2,0.0,0.0,0.0
24,acSIT0031103131026,acSIT0031103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,198.95000000000002,57.19799805,57.2,198.95000000000002,5,62.2,-2.7557151639573396,5.467526805969972,3.483461118900248
24,acSIT0031103131026,acSIT0031103131026.dat.correct.padremoved.v,2011-03-13 10:26:00,Kanto Basin,training,True,198.95000000000002,57.19799805,57.2,198.95000000000002,10,67.2,-8.871933218852945,11.301833852928738,9.042907764711419
25,acCHB0141103141002,acCHB0141103141002.dat.correct.padremoved.v,2011-03-14 10:02:00,Kanto Basin,holdout_evaluation,True,207.91,83.62299805,83.62,207.91,-10,73.62,4.0590297722942426,6.898392232617058,3.001499562775374
25,acCHB0141103141002,acCHB0141103141002.dat.correct.padremoved.v,2011-03-14 10:02:00,Kanto Basin,holdout_evaluation,True,207.91,83.62299805,83.62,207.91,-5,78.62,2.6594086055924837,3.3977618973093424,2.820545964819431
25,acCHB0141103141002,acCHB0141103141002.dat.correct.padremoved.v,2011-03-14 10:02:00,Kanto Basin,holdout_evaluation,True,207.91,83.62299805,83.62,207.91,0,83.62,0.0,0.0,0.0
25,acCHB0141103141002,acCHB0141103141002.dat.correct.padremoved.v,2011-03-14 10:02:00,Kanto Basin,holdout_evaluation,True,207.91,83.62299805,83.62,207.91,5,88.62,-3.3383320439035136,6.886073308082347,4.529895784992679
25,acCHB0141103141002,acCHB0141103141002.dat.correct.padremoved.v,2011-03-14 10:02:00,Kanto Basin,holdout_evaluation,True,207.91,83.62299805,83.62,207.91,10,93.62,-8.625791505782999,11.390156716892692,7.091615228306739
